id,type,model,powerLevel,compatibilityScore,manufactureDate,status,manufacturer
ORG-0001,HEART,HEARTX-2000,85,0.92,2024-01-15,AVAILABLE,CyberMed Inc
ORG-0002,LUNG,LUNGX-1500,75,0.85,2024-02-01,AVAILABLE,BioTech Systems
ORG-0003,KIDNEY,KIDNEYX-3000,95,0.78,2024-01-20,AVAILABLE,OrganoTech
ORG-0004,LIVER,LIVERX-2200,65,0.95,2024-02-10,AVAILABLE,CyberMed Inc
ORG-0005,HEART,HEARTX-2100,90,0.88,2024-01-05,ALLOCATED,BioTech Systems
# Invalid: Future date,,,,,,,
ORG-0006,HEART,HEARTX-2000,85,0.92,2025-01-15,AVAILABLE,CyberMed Inc
# Invalid: Power level too high,,,,,,,
ORG-0007,LUNG,LUNGX-1500,120,0.85,2024-02-01,AVAILABLE,BioTech Systems
# Invalid: Compatibility score > 1.0,,,,,,,
ORG-0008,KIDNEY,KIDNEYX-3000,95,1.2,2024-01-20,AVAILABLE,OrganoTech
# Invalid: Invalid organ type,,,,,,,
ORG-0009,BRAIN,BRAINX-2200,65,0.95,2024-02-10,AVAILABLE,CyberMed Inc
ORG-0010,HEART,HEARTX-2100,90,0.88,2024-01-05,DEFECTIVE,BioTech Systems
ORG-0011,HEART,HEARTX-2000,82,0.91,2024-01-18,AVAILABLE,CyberMed Inc
ORG-0012,LUNG,LUNGX-1500,78,0.83,2024-02-03,AVAILABLE,BioTech Systems
ORG-0013,KIDNEY,KIDNEYX-3000,88,0.77,2024-01-22,AVAILABLE,OrganoTech
ORG-0014,LIVER,LIVERX-2200,72,0.94,2024-02-12,AVAILABLE,CyberMed Inc
ORG-0015,HEART,HEARTX-2100,87,0.86,2024-01-07,AVAILABLE,BioTech Systems
# Invalid: Negative power level,,,,,,,
ORG-0016,HEART,HEARTX-2000,-85,0.92,2024-01-15,AVAILABLE,CyberMed Inc
# Invalid: Negative compatibility score,,,,,,,
ORG-0017,LUNG,LUNGX-1500,75,-0.85,2024-02-01,AVAILABLE,BioTech Systems
ORG-0018,KIDNEY,KIDNEYX-3000,91,0.79,2024-01-20,AVAILABLE,OrganoTech
ORG-0019,LIVER,LIVERX-2200,68,0.93,2024-02-10,AVAILABLE,CyberMed Inc
ORG-0020,HEART,HEARTX-2100,86,0.87,2024-01-05,AVAILABLE,BioTech Systems
